Genre_04_nouns.csv
Unique nouns: 751, Total nouns: 1792
Total time: Uncomputed,Cost per noun: Uncomputed
game,"['Many games mix and match among them.', '\n\nIt is also possible to move from one gameplay style to another within the same game, e.g. Mini Games , vehicle sequences within action games, etc.', 'These gameplay changes can sometimes be unnecessary or unwanted , especially if the game transitions between them jarringly with poor integration between them.', '\n\nNotable games in each genre can be found on the individual pages.', 'Note that many games can and should be in multiple genres, as the lines can often get blurred, or games can incorporate elements of more than one genre .', 'If you have a new game to add, put it in every genre you think it belongs!', 'There are other, more thorough, game databases.', '\n\nÂ\xa0Â\xa0Â\xa0Â\xa0open/close all foldersÂ\xa0\n\nÂ\xa0Â\xa0Â\xa0Â\xa0General game genresÂ', 'These are the most common classifications applied to video games, usually pertaining to their style of gameplay.', 'Action-Adventure : A game that combines parts from Action Games and Adventure Games together.', '(ex: The Legend of Zelda , God of War )\n\nMetroidvania : A game that combines parts from Action-Adventure Games and Platform Games together.', '(ex: Super Metroid , Castlevania: Symphony of the Night )\n\nStealth-Based Game : A game in which the player character must hide and sneak through the level while avoiding notice from much more powerful enemies that the player character cannot take head-on.', '(ex: Metal Gear Solid , Splinter Cell , Tenchu )\n\nSurvival Sandbox : A game where the primary objective is to survive for as long as possible in a hostile, often open-ended environment.', '(ex: Minecraft )\n\nSurvival Horror : A game that features overwhelmed protagonist(s), oppressive atmosphere based on Horror conventions and a need for careful management of resources (ammo, health, etc.).', '(ex: the first three Resident Evil )\n\nAction Game : A game that is primarily about physical challenges, such as combat and obstacle crossing.', ""(ex: Asura's Wrath )\n\nPlatform Game (Platformer): A game in which jumping is an important action for navigating the environment."", '(ex: Super Mario Bros. )\n\nCinematic Platform Game :', 'A Platform Game that portrays itself more realistically.', '(ex: Prince of Persia )\n\nCollect-A-Thon Platformer : A Platform Game set in relatively open levels where collecting a certain number of pickups is necessary to progress further into the game.', '(ex: Banjo-Kazooie )\n\nElimination Platformer : A game that requires players to use the concept of jumping from one platform to another to clear the entire level of enemies.', 'Platform Hell : A Platform Game with intentionally cranked up and unfair difficulty, usually for comedic value.', '(ex: I Wanna Be the Guy , Super Meat Boy )\n\nPuzzle Platformer : A game that combines parts from Platform Games and Puzzle Games together.', ""(ex: Contra , Metal Slug )\n\nBeat 'em Up : A Sub-genre of Action Game with the player character fighting primarily with punches and kicks against large hordes of relatively weaker enemies."", 'Stylish Action : A game that allows the player to create spectacle through its mechanics, where their performance in fighting enemies gets graded under certain criteria and then rewarded accordingly.', '(ex: Devil May Cry )\n\nShooter : A game in which the gameplay revolves around shooting with guns and other ranged weapons.', '(ex: Team Fortress 2 , Overwatch )\n\nLight Gun Game : A game in which the player has a pointing device that resembles a gun and points it at the screen to shoot on-screen enemies.', 'A game in which the computer controls most of your movement and you control the shots.', '(ex: Rainbow Six )\n\nFighting Game', 'An Action Game that is primarily about one-on-one fights between two (or rarely more) equally skilled opponents.', 'A fighting game combined with platform game elements; has great emphasis on maneuverability on dynamic stages.', '(ex: Super Smash Bros. )\n\nBoss Game :', 'A game composed mostly/entirely of Boss Battles .', '(ex: Shadow of the Colossus )\n\nAdventure Game : A game that is about puzzle-solving, exploration, and narrative, and a relative (or total) absence of randomized combat.', '(ex: The Walking Dead )\n\nEnvironmental Narrative Game : A story-driven adventure game which emphasizes narrative and exploring a physical location, with very little in the way of interactivity or gameplay challenge.', 'Also known by other labels including ""walking simulator"", ""story exploration game"", ""first-person adventure"" and ""interactive stories"".', '(ex: Gone Home )\n\nExplorer Horror : Horror games that revolve around exploring grim locations and collecting objects, with minimalist storytelling.', '(ex: Yume Nikki )\n\nInteractive Fiction : An Adventure Game in which the interaction is almost entirely text-based.', 'Interactive Movie : A game that is based around video clips, and the player must press buttons at the right time, choose the right sequence of clips, or play other games using the video as a backdrop.', ""(ex: Dragon's Lair )\n\nPoint-and-Click Game : A game in which the player interacts with the environment by moving the mouse cursor over areas of the screen and clicking on them."", ""(ex: Monkey Island , King's Quest )\n\nRoom Escape Game"", 'A simplistic type of Point-and-Click Game consisting solely of puzzles to escape a room or series of rooms.', '(ex: Mystery of Time and Space )\n\nVisual Novel : An Adventure Game that focuses more on character interactivity than world interactivity, with dialogue choices being the primary gameplay component.', 'Card Battle Game : A game in which players brings their own deck of cards to play.', '\n\nCasual Video Game :', 'A game that is easy to learn and relatively simple by design.', '(ex: Wii Sports )\n\nEndless Running Game : A game about enduring an endless sequence of obstacles as long as possible.', 'Exergaming : A game that encourages the player to exercise and to get into shape.', '(ex: Wii Fit )\n\nHidden Object Game : A game in which there is a photo realistic cluttered scene and the player must find and click on a series of objects in it.', '(ex: Mystery Case Files )\n\nIdle Game : A genre of game defined by its game play, the primary feature of which is that the easiest way to win is to leave the game running by itself for long periods of time.', 'Time Management Game : A game that requires the player to accomplish tasks as fast as possible.', ""(ex: Diner Dash )\n\nVirtual Paper Doll : A game that is about customizing a character's appearance."", 'Digging Game : A game in which the player digs through terrain while minding falling objects.', '(ex: Dig Dug )\n\nDigital Pinball Tables : Computerized pinball games, whether replicas of Physical Pinball Tables or original boards with features that can only exist in software.', '\n\nDriving Game : A game in which the player drives a vehicle of some kind.', '(ex: Driver )\n\nRacing Game : A game in which the player drives a vehicle of some kind and races against either other players or time.', '(ex: Mario Kart )\n\nVehicular Combat : A game where the player controls a normally armed motor vehicle and must destroy all enemies.', '(ex: Twisted Metal )\n\nEscort Game : A game about escorting someone or something.', '(ex: Lemmings )\n\nGame Maker : Software focused on creating whole games from the ground up with preexisting assets.', 'Sometimes, the software itself is a game.', 'Game : An online Player Versus Player game that is quick and easy to pick up and play.', '\n\nMaze Game :', ""A game that takes place in a maze, and the player must either get from one side of the maze to the other, or clear it of every item that won't kill the player."", '(ex: Pac-Man )\n\nMad Marble Maze : A game in which the player rolls a round object of some kind from the beginning to the end of a level.', '(ex: Super Monkey Ball )\n\nMedical Game :', 'A game in which the player takes the role of a doctor or medic and has to treat patients.', '(ex: Trauma Center , Theme Hospital )\n\nMinigame Game : A game that has a series of puzzles, challenges and games with very different requirements for defeating them.', '(ex: WarioWare )\n\nParty Game : A Minigame Game in which two to four players compete against each other in a board game-like environment.', '(ex: Mario Party )\n\nMon Game : A game that allows the player to befriend or capture various creatures to fight on their behalf.', '(ex: PokÃ©mon , Shin Megami Tensei )\n\nPuzzle Game : A game that requires mental skill as well as, or instead of, dexterity and quick reflexes.', '(ex: Professor Layton )\n\nBizarre Puzzle Game :', 'A Puzzle Game that is so weird and mind-defying that trying to label it with a genre is a puzzle in and of itself.', 'Breaking Out : A game in which a paddle at the bottom of the screen bounces a ball to destroy blocks, and missing the ball results in the player losing a life.', 'Match-Three Game : A game in which the player must match three objects of similar color/shape/species to eliminate said objects from the playing field.', 'Programming Game : A game in which the player has little to no direct control over the game\'s events, and must set up the solution, then hit a ""go"" switch to activate the solution and see if it accomplishes the task correctly.', '(ex: The Incredible Machine )\n\nTeamwork Puzzle Game : A game in which the player controls a group of characters, and progress frequently depends on puzzles making use of this fact.', 'A game usually based on Minesweeper involving a tile-based board on which you uncover clues and use them to reach the goal while avoiding threats or satisfying some other condition.', ""Falling Blocks : A game in which blocks fall from the top of the screen, requiring the player to move and flip them so that they'll be arranged in a way to make them disappear, and if the blocks reach the top of the screen then the game ends."", '(ex: Tetris , Puyo Puyo )\n\nRhythm Game : A game that will flash commands, and the player has to input the same, synchronized to a beat or melody.', '(ex: beatmania , Guitar Hero )\n\nRising Up The Food Chain Game : A game in which the player must eat creatures smaller than himself and become bigger, which allows him to eat more creatures.', 'Role-Playing Game (RPG) â€” see also Tabletop Games (Tabletop RPG): A game in which the player controls a character or party of characters in a statistically abstracted way.', 'Action RPG : A game that combines parts from Role Playing Games and Action Adventure Games together.', 'Either a sub-genre of the Role-playing Game or a genre modifier, depending on who you ask.', 'Massively Multiplayer Online Role-Playing Game (MMORPG): A game that has hundreds of players interacting with each other in the same world in real-time, which completing quests and leveling up.', 'A Multi-User Text-Oriented Game that emphasizes role playing and player intervention.', 'Roguelike : A game that features Dungeon Crawling with randomly generated environments randomly stocked from a huge list of monsters and items, Permadeath , Anti-Grinding and is Nintendo Hard .', '(ex: NetHack )\n\nSouls-like RPG : A game that emphasizes dodging attacks during combat, with tough mooks, even harder bosses and very few checkpoints.', '(ex: Nioh , Bloodborne )\n\nStrategy RPG (SRPG): A game that is a Role Playing Game, but it plays like a Turn-Based Strategy or Real-Time Strategy.', '\n\nWestern RPG : A North American or European game that features a customizable featureless protagonist.', '(ex: Mass Effect , The Elder Scrolls )\n\nEastern RPG : A usually Japanese game that tends to have a linear plot and a party of predefined characters written into said plot.', '(ex: Final Fantasy , Dragon Quest )\n\nRomance Game : A game in which the primary goal is to establish a romantic relationship between the Player Character and one or more of the NPCs.', ""\n\nDating Sim : A game in which the player courts at least one potential lover, and the player must keep track of every character's feelings about them and giving out presents, which will feel like a Role Playing Game."", 'Essentially, Romance Game meets Simulation Game .', '(ex: Tokimeki Memorial )\n\nSimulation Game (Sim): A game that simulates parts of a reality, fictional or real.', 'Breeding Sim : This type of game focuses on breeding creatures to get specific traits.', '(ex: Creatures , Flight Rising )\n\nConstruction and Management Games : This type of game focuses on elements like gathering and management of resources, construction, expansion, research and exploration.', '(ex: RollerCoaster Tycoon )\n\nDisaster Relief Game : A game where players have to cooperate in order to prevent, survive or rescue people from a disaster event.', 'Immersive Sim : A game that simulates a consistent lived-in world, facilitates Emergent Gameplay , and rewards creative problem solving.', '(ex: Deus Ex )\n\nLife Simulation Game : A game in which the player plays as, or at least has control over the lives, of living beings and goes through their life.', ""Farm Life Sim : A sub-genre of life simulations focused on the overall life of a farmer, including not only the farming but also their relationships with others (ex: Story of Seasons , Rune Factory , Stardew Valley )\n\nRaising Sim : A game in which schedules for a game to process are applied, which in turn affects characters in the game, who then develop 'on their own' without constant user interference."", '(ex: The Idolmaster )\n\nVirtual Pet : A game where the player interacts with a digital pet, with the goal of caring for it like a real one.', '(ex: Tamagotchi )\n\nSpace-Management Game : A game in which the player is the head of some organization or business, and receives a set amount of resources (sometimes abstracted to money or generic points) with which to construct a facility.', '(ex: City-State )\n\nSports Game : A game that simulates playing a traditional physical sport.', '(ex: FIFA , Madden NFL )\n\nWrestling Game : A game that simulates Professional Wrestling, with grapples, holds and throws.', '(ex: WWE Video Games )\n\nStrategy Game :', ""A game in which the player's strategical and/or tactical thinking is required in order to achieve victory."", '\n\n4X (4X): A game that has four simple goals, which are eXplore, eXpand, eXploit and eXterminate.', 'Sub-genre of a Strategy Game.', '(ex: Civilization )\n\nArtillery Game : A game that tasks the player with successfully aiming at an opponent with a ballistics trajectory under various conditions.', '(ex: Worms )\n\nMultiplayer Online Battle Arena (MOBA): A game that has teams of players competing with each other, typically using the point-and-click interface of a Real Time Strategy; but, unlike RTS games, players control only one Hero Unit instead of a military-industrial complex.', '(ex: League of Legends )\n\nPolitical Strategy Game : A game that simulates a conflict over influence, policy, and ideology, rather than territory, trade, or production.', 'Real-Time Strategy (RTS): A game that focuses on construction and control of a fighting force in battle that takes place in real-time.', '(ex: StarCraft , Pikmin )\n\nTower Defense : A game in which the player defends a building from monsters using other buildings, sometimes with a unit or two as back-up.', '(ex: Plants vs. Zombies )\n\nTurn-Based Strategy (TBS): A game that is about abstract mechanics of efficiently waging war, exploiting resources and controlling huge groups of combatants all at once.', '(ex: Total War )\n\nTurn-Based Tactics : A game in which the player must control individual soldiers or vehicles.', 'Toys-To-Life Game :', 'A game involving physical toys interacting with the game.', '(ex: Skylanders , Disney Infinity )\n\nAnd lastly, Miscellaneous Games : A page that contains games that nobody could identify the genre of.', ""\n\nÂ\xa0Â\xa0Â\xa0Â\xa0Aesthetic game genresÂ\xa0\n\nNon-gameplay genres that can be found in other mediums, related to the game's story, setting, tone, etc."", 'Art Game : A game that has Doing It for the Art as its motto.', 'Comedy Video Games : A game with heavy focus on humor, that seldom ever takes itself seriously.', '\n\nParody Video Games : A game that spoofs other games.', '\n\nDeconstruction Game :', 'A game that deconstructs a common gameplay element or plot device.', 'Edutainment Game : A game that educates players as well as entertains them.', '\n\nFantasy Video Games : A game that features magic and mythology in a supernatural setting.', '\n\nHorror Video Games : A game that exploits the fears of players to cause anxiety, fear, and ultimately thrills.', 'Mecha Game : A game that focuses on Humongous Mecha for combat.', '\n\nMilitary and Warfare Video Games : A game that revolves around soldiers or warriors fighting in a military conflict.', 'Retraux Games : Games using intentionally outdated graphics for a nostalgic effect.', '\n\nScience Fiction Video Games : A game that explores a concept that does not exist at the present time, but it someday might.', 'There are several modifiers that can be applied to the genre of a game, as a twist on the standard formula.', '\n\nBattle Royale Game :', 'A multiplayer mode in the main game in which every player is on the same team and playing against the computer.', 'A scenario in which games within a franchise switch from one Video Game Genre to another in an attempt to continue appealing to fans.', '\n\nMeta Multiplayer : A multiplayer mode in which players are playing their own game at a time, but other players are doing this as well.', 'Minigame : A separate game present inside the main game.', 'May or may not be relevant to progressing through the main game itself.', ""Museum Game : A game that is primarily about paying tribute to or heavily referencing a franchise or company's past."", '\n\nMusic Player Game : A game in which the levels are procedurally generated from the music you feed it, typically the more intensive and loud the music, the more action you are going to see.', '\n\nPop Up Video Games : A game in which clicking on background items results in cute animations.', '\n\nPhysics Based : A game that is primarily about the developers showing off applications of physics.', '\n\nReal Time : When one minute of game play equals one minute in game time.', ""\n\nRPG Elements : A game that isn't exactly a Role-Playing Game , but the player character is gaining experience points and levels like in an RPG."", ""Turn-Based Combat : A game that isn't an all-out turn-based strategy/tactics but switches to turns whenever combat starts."", '\n\nTurn-Based Strategy, Real Time Combat : A TBS game where the combat sections take place in Real Time , meaning no Turn-Based Combat .', '\n\nUnexpected Gameplay Change : When the genre in a game suddenly changes to a different genre with little warning.', '\n\n3D : When a video game series goes from having two-dimensional sprites to having three-dimensional polygons.', '\n\nWide-Open Sandbox : When the massive open world and optional material outweigh the actual, goal-oriented game play.', 'Other categoriesÂ\xa0\n\nThere are also a number of particularly distinctive ways a game can be marketed or categorized.', 'Advertisement Game :', 'A video game created to advertise a product such as a food or store.', 'Allegedly Free Game : A game that you can play for free, but you will have to pay money to access other game areas or get particular abilities and items.', 'Beta Test : A development version of the game, built to test how the various components of the program interact with one another and the computer.', 'Some developers have an ""Open Beta"" process, giving access to a pre-release version of the game to the general public (or play testers selected from a public pool) for more extensive testing.', 'Downloadable Content : Additional, optional content provided by the developer via digital distribution and purchased separately from the main game.', 'Episodic Game : A game that is divided into separate episodes, and allows for cheaper prices, shorter wait times, and shorter development times.', '\n\nExpansion Pack : Additional content released after the original game that is purchased separately and (usually) requires the original game to run.', ""A game that you can play for free, but if you pay premium then you'll get full access to features that you couldn't get for free and remove advertisements."", '\n\nFreeware Games : A game that can be downloaded and distributed legally for free.', 'Game Mod : Third-party modifications applied to an existing game.', 'Can range from cosmetic improvements to additional fan-created content to full-on total conversions that only share an underlying game engine.', '\n\nGame Mod Index :', ""This is where you'll find Game Mods listed in one place."", 'H-Game : A game that features sex or heavy fan service.', '\n\nIndie Game :', 'A game that is developed without the backing of a publishing company, thus making it independently developed.', '\n\nLicensed Game :', 'A game based on an existing property, usually a movie, TV series or comic book.', '\n\nLicense-Added Game : A specific type of Licensed Game in which the license is added to a new version of an existing video game franchise.', '\n\nMicrotransactions : A game that has individual, one-off payments for accessing additional content in a game.', 'A sequel with so few changes from its predecessor that it feels more like an Expansion Pack than a ""true"" sequel.\n\nObvious Beta : An unfinished game (often egregiously so) marketed as a finished one, for whatever reason.', '\n\nOnline Games : Video games that require an Internet connection for some, most, or all of its features.', 'While many games nowadays have some sort of online multiplayer mode, there are some games which only exist on the Internet itself.', 'Web Games : An online game is that is played on a website via your web browser.', '\n\nPerpetual Beta : A game which undergoes a long process of bug fixes, tweaks, and re-balancing even after its official release.', 'So named because the developers seem to be ""outsourcing"" their beta testing to the player base without telling them the game\'s not really finished.', '\n\nShareware : A game that can be played to a certain extent without purchasing it.', 'Buying the game will allow the player to play it to completion, instantly picking up exactly where they left off upon purchase without the need to install anything.', '\n\nUnlicensed Game :', '\n\nVideo Game Long Runners : A franchise that has at least six games in its main series and spans ten years.', ""\n\nVirtual Reality : A game that makes use of a headset display to make the player feel as though they are physically present in the game's setting."", '\n\nAlternative Title(s): Video Game Genre']",261
e.g.,"['\n\nIt is also possible to move from one gameplay style to another within the same game, e.g. Mini Games , vehicle sequences within action games, etc.']",1
mini,"['\n\nIt is also possible to move from one gameplay style to another within the same game, e.g. Mini Games , vehicle sequences within action games, etc.']",1
vehicle,"['\n\nIt is also possible to move from one gameplay style to another within the same game, e.g. Mini Games , vehicle sequences within action games, etc.', '\n\nDriving Game : A game in which the player drives a vehicle of some kind.', '(ex: Driver )\n\nRacing Game : A game in which the player drives a vehicle of some kind and races against either other players or time.', '(ex: Mario Kart )\n\nVehicular Combat : A game where the player controls a normally armed motor vehicle and must destroy all enemies.', '(ex: Total War )\n\nTurn-Based Tactics : A game in which the player must control individual soldiers or vehicles.']",5
sequence,"['\n\nIt is also possible to move from one gameplay style to another within the same game, e.g. Mini Games , vehicle sequences within action games, etc.', 'Interactive Movie : A game that is based around video clips, and the player must press buttons at the right time, choose the right sequence of clips, or play other games using the video as a backdrop.', '(ex: Wii Sports )\n\nEndless Running Game : A game about enduring an endless sequence of obstacles as long as possible.']",3
action,"['\n\nIt is also possible to move from one gameplay style to another within the same game, e.g. Mini Games , vehicle sequences within action games, etc.', 'Action-Adventure : A game that combines parts from Action Games and Adventure Games together.', '(ex: The Legend of Zelda , God of War )\n\nMetroidvania : A game that combines parts from Action-Adventure Games and Platform Games together.', '(ex: the first three Resident Evil )\n\nAction Game : A game that is primarily about physical challenges, such as combat and obstacle crossing.', ""(ex: Asura's Wrath )\n\nPlatform Game (Platformer): A game in which jumping is an important action for navigating the environment."", ""(ex: Contra , Metal Slug )\n\nBeat 'em Up : A Sub-genre of Action Game with the player character fighting primarily with punches and kicks against large hordes of relatively weaker enemies."", 'Stylish Action : A game that allows the player to create spectacle through its mechanics, where their performance in fighting enemies gets graded under certain criteria and then rewarded accordingly.', 'First-Person Shooter (FPS): A 3D shooter in which the perspective is through the eyes of the player character, and the action revolves around shooting.', 'An Action Game that is primarily about one-on-one fights between two (or rarely more) equally skilled opponents.', 'Action RPG : A game that combines parts from Role Playing Games and Action Adventure Games together.', '\n\nMusic Player Game : A game in which the levels are procedurally generated from the music you feed it, typically the more intensive and loud the music, the more action you are going to see.']",13
change,"['These gameplay changes can sometimes be unnecessary or unwanted , especially if the game transitions between them jarringly with poor integration between them.', '\n\nUnexpected Gameplay Change : When the genre in a game suddenly changes to a different genre with little warning.', 'A sequel with so few changes from its predecessor that it feels more like an Expansion Pack than a ""true"" sequel.\n\nObvious Beta : An unfinished game (often egregiously so) marketed as a finished one, for whatever reason.']",3
transition,"['These gameplay changes can sometimes be unnecessary or unwanted , especially if the game transitions between them jarringly with poor integration between them.']",1
integration,"['These gameplay changes can sometimes be unnecessary or unwanted , especially if the game transitions between them jarringly with poor integration between them.']",1
advertisement,"['\n\nAdvertisement:', 'Advertisement Game :', ""A game that you can play for free, but if you pay premium then you'll get full access to features that you couldn't get for free and remove advertisements.""]",4
page,"['\n\nNotable games in each genre can be found on the individual pages.', '(ex: Skylanders , Disney Infinity )\n\nAnd lastly, Miscellaneous Games : A page that contains games that nobody could identify the genre of.']",2
line,"['Note that many games can and should be in multiple genres, as the lines can often get blurred, or games can incorporate elements of more than one genre .']",1
element,"['Note that many games can and should be in multiple genres, as the lines can often get blurred, or games can incorporate elements of more than one genre .', ""A platformer that borrows elements from the Shoot 'em Up genre."", 'A fighting game combined with platform game elements; has great emphasis on maneuverability on dynamic stages.', '(ex: Creatures , Flight Rising )\n\nConstruction and Management Games : This type of game focuses on elements like gathering and management of resources, construction, expansion, research and exploration.', 'A game that deconstructs a common gameplay element or plot device.', ""\n\nRPG Elements : A game that isn't exactly a Role-Playing Game , but the player character is gaining experience points and levels like in an RPG.""]",6
pinball,"['\n\nAlso see Pinball , the arcade predecessor to Video Games.', '(ex: Dig Dug )\n\nDigital Pinball Tables : Computerized pinball games, whether replicas of Physical Pinball Tables or original boards with features that can only exist in software.']",4
arcade,"['\n\nAlso see Pinball , the arcade predecessor to Video Games.']",1
predecessor,"['\n\nAlso see Pinball , the arcade predecessor to Video Games.', 'A sequel with so few changes from its predecessor that it feels more like an Expansion Pack than a ""true"" sequel.\n\nObvious Beta : An unfinished game (often egregiously so) marketed as a finished one, for whatever reason.']",2
â,"['\n\nÂ\xa0Â\xa0Â\xa0Â\xa0open/close all foldersÂ\xa0\n\nÂ\xa0Â\xa0Â\xa0Â\xa0General game genresÂ', ""\n\nÂ\xa0Â\xa0Â\xa0Â\xa0Aesthetic game genresÂ\xa0\n\nNon-gameplay genres that can be found in other mediums, related to the game's story, setting, tone, etc."", '\n\nÂ\xa0Â\xa0Â\xa0Â\xa0Gameplay modifiersÂ', 'Â\xa0Â\xa0Â\xa0Â']",20
foldersâ,['\n\nÂ\xa0Â\xa0Â\xa0Â\xa0open/close all foldersÂ\xa0\n\nÂ\xa0Â\xa0Â\xa0Â\xa0General game genresÂ'],1
general,['\n\nÂ\xa0Â\xa0Â\xa0Â\xa0open/close all foldersÂ\xa0\n\nÂ\xa0Â\xa0Â\xa0Â\xa0General game genresÂ'],1
genresâ,"['\n\nÂ\xa0Â\xa0Â\xa0Â\xa0open/close all foldersÂ\xa0\n\nÂ\xa0Â\xa0Â\xa0Â\xa0General game genresÂ', ""\n\nÂ\xa0Â\xa0Â\xa0Â\xa0Aesthetic game genresÂ\xa0\n\nNon-gameplay genres that can be found in other mediums, related to the game's story, setting, tone, etc.""]",2
classification,"['These are the most common classifications applied to video games, usually pertaining to their style of gameplay.']",1
adventure,"['Action-Adventure : A game that combines parts from Action Games and Adventure Games together.', '(ex: The Legend of Zelda , God of War )\n\nMetroidvania : A game that combines parts from Action-Adventure Games and Platform Games together.', '(ex: Shadow of the Colossus )\n\nAdventure Game : A game that is about puzzle-solving, exploration, and narrative, and a relative (or total) absence of randomized combat.', '(ex: The Walking Dead )\n\nEnvironmental Narrative Game : A story-driven adventure game which emphasizes narrative and exploring a physical location, with very little in the way of interactivity or gameplay challenge.', 'Also known by other labels including ""walking simulator"", ""story exploration game"", ""first-person adventure"" and ""interactive stories"".', '(ex: Yume Nikki )\n\nInteractive Fiction : An Adventure Game in which the interaction is almost entirely text-based.', '(ex: Mystery of Time and Space )\n\nVisual Novel : An Adventure Game that focuses more on character interactivity than world interactivity, with dialogue choices being the primary gameplay component.', 'They often allow the player to choose their own adventure and get different endings based on your choices.', 'Action RPG : A game that combines parts from Role Playing Games and Action Adventure Games together.']",10
part,"['Action-Adventure : A game that combines parts from Action Games and Adventure Games together.', '(ex: The Legend of Zelda , God of War )\n\nMetroidvania : A game that combines parts from Action-Adventure Games and Platform Games together.', 'Leaping and climbing between platforms of varying heights and over or onto enemy characters forms a large part of the gameplay.', '(ex: I Wanna Be the Guy , Super Meat Boy )\n\nPuzzle Platformer : A game that combines parts from Platform Games and Puzzle Games together.', 'Action RPG : A game that combines parts from Role Playing Games and Action Adventure Games together.', '(ex: Tokimeki Memorial )\n\nSimulation Game (Sim): A game that simulates parts of a reality, fictional or real.']",6
focus,"['This means a balanced focus on combat and exploration/puzzle-solving.', 'Comedy Video Games : A game with heavy focus on humor, that seldom ever takes itself seriously.']",2
combat,"['This means a balanced focus on combat and exploration/puzzle-solving.', '(ex: the first three Resident Evil )\n\nAction Game : A game that is primarily about physical challenges, such as combat and obstacle crossing.', '(ex: Raiden )\n\nTactical Shooter : An FPS or TPS that simulates realistic combat, encouraging use of real-life combat tactics.', '(ex: Shadow of the Colossus )\n\nAdventure Game : A game that is about puzzle-solving, exploration, and narrative, and a relative (or total) absence of randomized combat.', '(ex: Mario Kart )\n\nVehicular Combat : A game where the player controls a normally armed motor vehicle and must destroy all enemies.', '(ex: NetHack )\n\nSouls-like RPG : A game that emphasizes dodging attacks during combat, with tough mooks, even harder bosses and very few checkpoints.', 'Mecha Game : A game that focuses on Humongous Mecha for combat.', ""Turn-Based Combat : A game that isn't an all-out turn-based strategy/tactics but switches to turns whenever combat starts."", '\n\nTurn-Based Strategy, Real Time Combat : A TBS game where the combat sections take place in Real Time , meaning no Turn-Based Combat .']",13
